X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Dénsité de végétation;Leaf wall area (m²/ha);% de la dose homologuée à appliquer
766893.1;6284771.2;0.2;0.5;0.8;4160;41.6
766892.6;6284773.8;0.4;0.2;0.7;1840;18.4
766892.2;6284776.1;0.5;0.3;0.8;2480;24.8
766891.6;6284779.1;0.4;0.2;0.7;1840;18.4
766891;6284781.7;0.5;0.2;0.7;1440;14.4
766890.5;6284784.3;0.4;0.2;0.7;1520;15.2
766889.8;6284787.6;0.5;0.2;0.7;1760;17.6
766889.2;6284790.4;0.4;0.2;0.8;1600;16
766888.8;6284792.2;0.6;0.1;0.7;1040;10.4
766888.1;6284796.1;0.6;0.2;0.8;1760;17.6
766887.5;6284798.9;0.3;0.2;0.9;1840;18.4
766886.8;6284802.2;0.3;0.2;0.8;1840;18.4
766886.2;6284804.7;0.2;0.2;0.7;1600;16
766885.5;6284807.8;0.3;0.2;0.8;1920;19.2
766885;6284810.7;0.3;0.3;0.7;2560;25.6
766884.4;6284813.3;0.2;0.2;0.7;1920;19.2
766883.7;6284816.7;0.3;0.2;0.7;1920;19.2
766883.2;6284819.2;0.4;0.2;0.9;1840;18.4
766882.8;6284821.2;0.5;0.2;0.8;1920;19.2
766887.8;6284821.7;0.5;0.2;0.8;1760;17.6
766888.4;6284819.3;0.4;0.2;0.7;1840;18.4
766889.1;6284816.2;0.5;0.2;0.7;1920;19.2
766889.6;6284813.4;0.5;0.2;0.7;1920;19.2
766890.3;6284810.4;0.4;0.2;0.6;1680;16.8
766890.8;6284807.8;0.5;0.2;0.6;1360;13.6
766891.5;6284804.5;0.4;0.2;0.7;1600;16
766892.1;6284801.5;0.5;0.2;0.7;2000;20
766892.6;6284798.7;0.4;0.2;0.8;1600;16
766893.4;6284795.5;0.3;0.1;0.6;720;7.2
766894.1;6284792;0.5;0.2;0.7;1200;12
766894.6;6284789.6;0.4;0.1;0.8;1040;10.4
766895.3;6284786.6;0.4;0.2;0.7;1600;16
766895.9;6284783.5;0.4;0.2;0.7;1280;12.8
766896.5;6284780.6;0.3;0.2;0.8;1280;12.8
766897.2;6284777.8;0.4;0.2;0.8;1280;12.8
766897.8;6284774.9;0.4;0.2;0.7;2000;20
766898.4;6284771.6;0.5;0.2;0.8;1760;17.6
766898.9;6284769.2;0.6;0.3;0.8;2080;20.8
766899.5;6284766.1;0.2;0.3;0.8;2160;21.6
766900.1;6284763.5;0.2;0.3;0.7;2480;24.8
766900.8;6284760.3;0.2;0.3;0.7;2560;25.6
766901.3;6284757.6;0.2;0.3;0.8;2320;23.2
766902;6284754.6;0.3;0.3;0.7;2160;21.6
766902.4;6284752.4;0.2;0.3;0.6;2720;27.2
766903.3;6284748.5;0.3;0.3;0.6;2320;23.2
766903.8;6284745.6;0.2;0.3;0.7;2720;27.2
766904.4;6284742.9;0.4;0.3;0.7;2640;26.4
766905.1;6284739.9;0.4;0.3;0.7;2640;26.4
766905.7;6284737.1;0.4;0.3;0.7;2240;22.4
766907;6284735.1;0.4;0.3;0.7;2640;26.4
766910.7;6284737.4;0.4;0.3;0.7;2160;21.6
766910.1;6284740.5;0.5;0.4;0.7;3120;31.2
766909.5;6284743.3;0.3;0.4;0.6;3440;34.4
766908.8;6284746.4;0.2;0.4;0.7;3440;34.4
766908.3;6284749;0.3;0.3;0.7;2400;24
766907.6;6284752.1;0.3;0.2;0.7;1920;19.2
766907;6284755;0.3;0.2;0.7;1920;19.2
766906.5;6284757.4;0.2;0.2;0.7;1920;19.2
766905.8;6284760.9;0.2;0.2;0.7;1920;19.2
766905;6284764.1;0.3;0.3;0.8;2240;22.4
766904.4;6284766.8;0.3;0.3;0.7;2560;25.6
766903.8;6284769.8;0.3;0.2;0.8;2000;20
766903.3;6284772.4;0.2;0.4;0.7;2800;28
766902.8;6284775.2;0.4;0.2;0.8;1920;19.2
766902.1;6284778.2;0.3;0.2;0.7;1680;16.8
766901.5;6284781.1;0.2;0.2;0.7;2000;20
766901;6284783.9;0.4;0.2;0.8;1600;16
766900.3;6284786.9;0.3;0.2;0.7;1440;14.4
766899.8;6284789.6;0.3;0.2;0.8;1280;12.8
766899.1;6284792.8;0.3;0.2;0.8;1440;14.4
766898.7;6284795;0.2;0.2;0.8;1280;12.8
766897.6;6284799.5;0.4;0.2;0.7;1200;12
766897.4;6284800.7;0.2;0.2;0.7;1760;17.6
766896.5;6284804.6;0.3;0.2;0.8;1200;12
766895.8;6284807.7;0.4;0.2;0.8;1440;14.4
766895.4;6284810;0.1;0.3;0.6;2320;23.2
766894.7;6284813.2;0.4;0.2;0.7;1280;12.8
766894.1;6284816;0.4;0.2;0.7;1840;18.4
766893.5;6284818.7;0.4;0.2;0.7;1520;15.2
766892.9;6284821.4;0.4;0.2;0.7;1520;15.2
766896.1;6284824.7;0.3;0.4;0.6;3440;34.4
766897.9;6284823.2;0.4;0.2;0.6;2000;20
766898.5;6284820.5;0.3;0.2;0.7;1840;18.4
766899.1;6284817.5;0.4;0.3;0.7;2400;24
766899.8;6284814.4;0.4;0.4;0.7;3360;33.6
766900.4;6284811.6;0.2;0.4;0.8;3360;33.6
766901.1;6284808.7;0.4;0.3;0.7;2320;23.2
766901.8;6284805.6;0.1;0.5;0.6;3920;39.2
766902.4;6284802.9;0.4;0.3;0.8;2640;26.4
766903;6284799.4;0.4;0.3;0.8;2640;26.4
766903.6;6284796.9;0.2;0.4;0.5;3440;34.4
766904.1;6284794;0.4;0.3;0.7;2640;26.4
766904.8;6284790.7;0.4;0.3;0.7;2240;22.4
766905.4;6284787.9;0.3;0.3;0.8;2240;22.4
766905.9;6284785;0.4;0.3;0.7;2160;21.6
766906.4;6284782.5;0.3;0.3;0.6;2720;27.2
766907;6284779.4;0.4;0.3;0.6;2400;24
766907.7;6284776;0.3;0.2;0.7;2000;20
766908.3;6284773.5;0.2;0.3;0.6;2320;23.2
766908.9;6284770.6;0.3;0.3;0.7;2160;21.6
766909.5;6284767.5;0.1;0.3;0.6;2240;22.4
766910.1;6284764.9;0.3;0.4;0.6;3280;32.8
766911;6284760.5;0.3;0.3;0.8;2400;24
766911.4;6284758.4;0.1;0.3;0.6;2320;23.2
766912;6284755.5;0.2;0.3;0.6;2240;22.4
766912.6;6284753;0.1;0.4;0.7;2960;29.6
766913.3;6284749.9;0.3;0.3;0.7;2720;27.2
766914.1;6284746.5;0.2;0.4;0.8;3120;31.2
766914.5;6284744.1;0.2;0.4;0.8;2800;28
766915.1;6284741.2;0.3;0.3;0.7;2480;24.8
766915.8;6284737.9;0.2;0.3;0.7;2480;24.8
766916.4;6284734.8;0.2;0.4;0.6;3120;31.2
766917;6284732.6;0.3;0.2;0.7;1840;18.4
766921.5;6284733.7;0.2;0.4;0.8;3360;33.6
766921.1;6284735.9;0.3;0.3;0.7;2720;27.2
766920.4;6284739.3;0.2;0.4;0.8;3600;36
766920;6284741.4;0.2;0.2;0.7;1440;14.4
766919.3;6284745.7;0.3;0.2;0.5;2000;20
766918.9;6284747.2;0.2;0.4;0.8;3200;32
766918.1;6284750.8;0.3;0.4;0.7;3040;30.4
766917.5;6284753.6;0.2;0.4;0.7;3200;32
766916.9;6284756.2;0.3;0.3;0.7;2720;27.2
766916.3;6284759;0.2;0.3;0.7;2320;23.2
766915.7;6284762.1;0.3;0.4;0.7;3200;32
766915.2;6284764.6;0.3;0.3;0.6;2400;24
766914.4;6284768.3;0.2;0.4;0.7;2800;28
766913.8;6284771.1;0.3;0.3;0.6;2720;27.2
766913.2;6284774.1;0.2;0.3;0.6;2640;26.4
766912.6;6284777.1;0.4;0.2;0.6;1840;18.4
766912.1;6284779.3;0.2;0.3;0.5;2640;26.4
766911.5;6284782.2;0.4;0.3;0.6;2080;20.8
766910.9;6284785.1;0.3;0.2;0.6;1600;16
766910.3;6284787.7;0.2;0.3;0.7;2480;24.8
766909.8;6284790.5;0.4;0.2;0.6;1360;13.6
766909.2;6284793.6;0.3;0.2;0.6;1840;18.4
766908.7;6284796.3;0.3;0.2;0.7;1520;15.2
766907.9;6284799.5;0.4;0.2;0.8;1680;16.8
766907.2;6284802.3;0.3;0.3;0.7;2160;21.6
766906.6;6284805.2;0.3;0.2;0.7;1520;15.2
766906;6284808.2;0.2;0.4;0.6;2800;28
766905.4;6284810.9;0.3;0.3;0.6;2240;22.4
766904.8;6284813.9;0.3;0.3;0.6;2080;20.8
766904.2;6284816.9;0.2;0.3;0.6;2640;26.4
766903.6;6284819.9;0.3;0.2;0.7;1680;16.8
766903;6284822.8;0.3;0.2;0.6;1760;17.6
766896.3;6284765.9;0.4;0.2;0.8;1520;15.2
766896.1;6284768.1;0.3;0.2;0.8;1920;19.2
766895.6;6284771.1;0.3;0.3;0.7;2160;21.6
766895.2;6284773.7;0.5;0.3;0.7;2320;23.2
766894.6;6284776.6;0.3;0.2;0.7;1680;16.8
766894;6284779.5;0.4;0.2;0.7;1200;12
766893.5;6284782.2;0.4;0.2;0.7;1280;12.8
766892.9;6284785.1;0.3;0.2;0.8;1360;13.6
766892.2;6284787.9;0.2;0.1;0.8;960;9.6
766891.7;6284790.5;0.3;0.2;0.8;1200;12
766891.1;6284793.8;0.4;0.2;0.7;1360;13.6
766890.5;6284796.6;0.5;0.2;0.7;1840;18.4
766889.9;6284799.4;0.4;0.2;0.7;1680;16.8
766889.3;6284802.5;0.5;0.2;0.7;1600;16
766888.6;6284805.4;0.3;0.2;0.7;1440;14.4
766888;6284808;0.4;0.2;0.7;1200;12
766887.5;6284811.1;0.5;0.3;0.7;2400;24
766886.8;6284814.1;0.3;0.2;0.8;1920;19.2
766886.2;6284816.9;0.4;0.2;0.8;1440;14.4
766885.7;6284819.6;0.4;0.2;0.7;1600;16
766886;6284822.1;0.5;0.4;0.8;3120;31.2
766890.2;6284822.2;0.4;0.2;0.8;1680;16.8
766891;6284818.9;0.4;0.2;0.5;1440;14.4
766891.5;6284816.9;0.4;0.2;0.8;1600;16
766892.1;6284813.8;0.4;0.2;0.7;1440;14.4
766892.7;6284811;0.3;0.2;0.7;1440;14.4
766893.4;6284807.9;0.4;0.2;0.7;1520;15.2
766894;6284804.8;0.3;0.2;0.7;1920;19.2
766894.5;6284802.1;0.4;0.2;0.7;1200;12
766895.2;6284798.9;0.4;0.2;0.7;1360;13.6
766895.9;6284795.9;0.3;0.2;0.8;1520;15.2
766896.5;6284792.7;0.4;0.1;0.7;1120;11.2
766897.1;6284789.9;0.3;0.2;0.8;1600;16
766897.7;6284787.1;0.4;0.2;0.8;1280;12.8
766898.4;6284783.9;0.4;0.2;0.8;1600;16
766898.9;6284781.3;0.3;0.2;0.8;1600;16
766899.6;6284778.2;0.4;0.2;0.7;2000;20
766900.2;6284775.2;0.3;0.3;0.7;2240;22.4
766900.8;6284772.4;0.2;0.3;0.7;2720;27.2
766901.4;6284769.3;0.4;0.3;0.7;2320;23.2
766902;6284766.4;0.2;0.3;0.7;2400;24
766902.6;6284764;0.2;0.3;0.8;2400;24
766903.2;6284761.2;0.2;0.3;0.7;2240;22.4
766903.8;6284758.1;0.2;0.3;0.7;2560;25.6
766904.6;6284754.5;0.2;0.4;0.7;2880;28.8
766905.1;6284752.1;0.2;0.4;0.8;3360;33.6
766905.7;6284749;0.2;0.3;0.8;2640;26.4
766906.1;6284747;0.2;0.3;0.7;2560;25.6
766906.9;6284742.9;0.2;0.4;0.7;3280;32.8
766907.4;6284740.7;0.4;0.3;0.6;2160;21.6
766908.1;6284737.9;0.4;0.2;0.6;1360;13.6
766911.8;6284736;0.6;0.2;0.6;1360;13.6
766913.2;6284738;0.2;0.3;0.7;2320;23.2
766912.6;6284740.8;0.3;0.3;0.6;2720;27.2
766911.9;6284743.9;0.2;0.3;0.7;2320;23.2
766911.2;6284747.1;0.3;0.3;0.7;2400;24
766910.8;6284749.3;0.2;0.3;0.7;2400;24
766910.1;6284752.7;0.2;0.2;0.8;2000;20
766909.4;6284755.6;0.2;0.3;0.8;2320;23.2
766908.8;6284758.4;0.2;0.4;0.8;2960;29.6
766908.2;6284761.3;0.3;0.3;0.7;2720;27.2
766907.5;6284764.4;0.3;0.3;0.7;2240;22.4
766906.9;6284767.1;0.2;0.2;0.5;1360;13.6
766906.3;6284770;0.4;0.3;0.5;2240;22.4
766905.7;6284773.2;0.2;0.4;0.8;2880;28.8
766905.2;6284775.7;0.4;0.3;0.8;2560;25.6
766904.5;6284778.9;0.4;0.2;0.8;1840;18.4
766904;6284781.4;0.3;0.4;0.8;3440;34.4
766903.4;6284784.4;0.2;0.2;0.9;1520;15.2
766902.9;6284787;0.1;0.3;0.6;2720;27.2
766902.2;6284790.1;0.4;0.2;0.8;1680;16.8
766901.6;6284793.3;0.4;0.2;0.8;1760;17.6
766901.1;6284795.6;0.4;0.4;0.8;2960;29.6
766900.3;6284798.8;0.4;0.3;0.8;2560;25.6
766899.8;6284801.4;0.1;0.5;0.6;4080;40.8
766898.9;6284805.6;0.3;0.4;0.8;2800;28
766898.3;6284808;0.3;0.2;0.7;1440;14.4
766897.8;6284810.7;0.2;0.4;0.7;3040;30.4
766897.2;6284813.5;0.3;0.3;0.8;2320;23.2
766896.6;6284816.3;0.3;0.2;0.8;1680;16.8
766895.9;6284819.3;0.3;0.2;0.8;1520;15.2
766895.4;6284821.7;0.3;0.2;0.7;1680;16.8
766897.7;6284825.3;0.3;0.2;0.7;1680;16.8
766900.3;6284823.7;0.3;0.2;0.7;1360;13.6
766900.9;6284820.8;0.3;0.2;0.7;1200;12
766901.5;6284817.9;0.3;0.2;0.7;1280;12.8
766902.2;6284815.1;0.2;0.2;0.6;1280;12.8
766902.9;6284812.1;0.2;0.2;0.6;1520;15.2
766903.5;6284809.2;0.3;0.2;0.7;1280;12.8
766904.2;6284806.4;0.2;0.2;0.6;1600;16
766904.8;6284803.4;0.3;0.2;0.8;1200;12
766905.5;6284799.9;0.3;0.1;0.9;960;9.6
766906.1;6284797.1;0.2;0.2;0.8;1200;12
766906.6;6284794.2;0.3;0.2;0.8;1600;16
766907.2;6284791.4;0.3;0.2;0.6;1280;12.8
766907.8;6284788.4;0.1;0.2;0.7;1920;19.2
766908.4;6284785.4;0.3;0.2;0.7;1600;16
766908.9;6284782.4;0.2;0.3;0.7;2640;26.4
766909.6;6284779.5;0.3;0.2;0.7;2000;20
766910.1;6284776.5;0.4;0.3;0.7;2160;21.6
766910.8;6284773.8;0.2;0.4;0.8;2880;28.8
766911.3;6284771.2;0.3;0.2;0.7;1920;19.2
766911.9;6284768;0;0.1;1;800;8
766912.7;6284764.7;0.3;0.3;0.7;2240;22.4
766913.4;6284761;0.5;0.1;0.6;800;8
766914;6284758.4;0.1;0.2;0.8;2000;20
766914.5;6284756;0.3;0.4;0.8;3040;30.4
766915.1;6284753.2;0.1;0.5;0.5;3920;39.2
766915.7;6284750.7;0.3;0.4;0.8;2880;28.8
766916.6;6284746.7;0.3;0.6;0.8;4400;44
766917;6284744.2;0.2;0.3;0.7;2640;26.4
766917.7;6284741.1;0.2;0.3;0.8;2720;27.2
766918.2;6284738.3;0.2;0.4;0.8;2800;28
766918.8;6284735.3;0.3;0.2;0.8;1600;16
766919.5;6284732.8;0.3;0.2;1;1360;13.6
766924;6284733.9;0.3;0.2;0.8;1520;15.2
766923.6;6284736;0.2;0.2;0.7;1600;16
766923;6284739.1;0.2;0.4;0.7;3040;30.4
766922.4;6284742.2;0.2;0.3;0.9;2320;23.2
766921.9;6284745.1;0.2;0.4;0.9;3280;32.8
766921.3;6284747.7;0.2;0.3;0.8;2160;21.6
766920.5;6284751.2;0.2;0.2;0.9;1840;18.4
766920;6284753.9;0.2;0.3;0.7;2240;22.4
766919.4;6284756.5;0.2;0.3;0.8;2240;22.4
766918.8;6284759.5;0.2;0.2;0.7;1920;19.2
766918.2;6284762.6;0.2;0.3;0.8;2240;22.4
766917.6;6284765.4;0.3;0.2;0.8;2000;20
766916.8;6284768.9;0.1;0.6;0.8;4400;44
766916.2;6284771.6;0.2;0.3;0.7;2720;27.2
766915.6;6284774.6;0.3;0.4;0.7;3280;32.8
766915.1;6284777.2;0.3;0.2;0.7;2000;20
766914.5;6284779.7;0.3;0.2;0.7;1760;17.6
766914;6284782.6;0.3;0.2;0.7;1760;17.6
766913.3;6284785.7;0.3;0.2;0.7;1840;18.4
766912.8;6284788.4;0.3;0.2;0.7;1760;17.6
766912.1;6284791.3;0.3;0.2;0.7;1360;13.6
766911.6;6284794;0.2;0.2;0.7;1680;16.8
766911.1;6284796.8;0.2;0.2;0.8;1440;14.4
766910.4;6284799.9;0.2;0.2;0.8;1360;13.6
766909.7;6284802.9;0.2;0.2;0.8;2000;20
766909.1;6284805.7;0.3;0.2;0.8;1440;14.4
766908.5;6284808.4;0.1;0.3;0.6;2080;20.8
766907.8;6284811.6;0.3;0.2;0.7;1920;19.2
766907.2;6284814.4;0.3;0.2;0.8;1680;16.8
766906.6;6284817.4;0.3;0.3;0.7;2640;26.4
766906;6284820.5;0.3;0.2;0.8;1920;19.2
766905.4;6284823.4;0.2;0.2;0.7;1920;19.2
